Cost Savings,Enhanced Security,I Did Not See Any Benefit,Improved Compliance,Minimized Lateral Movement,Reduced Attack Surface,Simplified Remote Access
0,1,0,1,1,1,0
0,1,0,1,0,1,1
0,0,0,1,0,0,0
0,1,0,0,0,1,0
0,0,0,0,0,0,1
0,0,0,0,0,1,0
0,0,0,1,0,1,0
0,0,0,0,0,1,0
1,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,1,0,0,0
0,0,0,0,0,1,0
1,1,0,0,0,1,0
0,0,0,1,0,0,0
0,0,0,1,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,1,1
0,1,0,0,1,0,0
0,0,0,0,0,0,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,1,1,0
0,1,0,0,1,0,0
0,0,0,0,0,1,0
0,1,0,1,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,0,0
0,1,0,0,0,0,1
0,0,1,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,0,1,0
0,1,0,1,0,0,0
1,0,0,0,0,1,0
1,0,0,0,0,0,1
0,1,0,0,1,1,0
1,1,0,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,1,0,0,1,0,1
1,1,0,0,0,0,0
0,1,0,0,0,1,0
1,1,0,0,0,0,0
0,0,0,1,0,1,0
0,0,1,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,1,1,0
0,1,0,0,0,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,1,0,0,1,0,0
0,0,0,0,1,0,1
0,0,0,0,1,0,0
0,1,0,1,0,0,0
0,0,0,0,0,0,1
0,1,0,0,0,0,0
0,0,0,0,0,1,0
1,0,0,0,0,0,0
0,0,1,0,0,0,0
0,1,0,0,0,0,0
